iter,loss,elbo,kl,weighted_kl,kl_weight
73,7962.6162109375,-7903.98876953125,58.6275634765625,58.6275634765625,1.0
74,7824.373046875,-7765.14453125,59.22874450683594,59.22874450683594,1.0
75,7099.67724609375,-7039.6943359375,59.98274612426758,59.98274612426758,1.0
76,7361.71337890625,-7301.0224609375,60.69047164916992,60.69047164916992,1.0
77,7008.34912109375,-6947.09130859375,61.25769805908203,61.25769805908203,1.0
78,7085.7646484375,-7023.7744140625,61.99036407470703,61.99036407470703,1.0
79,6150.55224609375,-6088.1884765625,62.364131927490234,62.364131927490234,1.0
80,6919.0634765625,-6856.3046875,62.758705139160156,62.758705139160156,1.0
81,8232.2998046875,-8168.8955078125,63.403778076171875,63.403778076171875,1.0
82,8217.861328125,-8154.36767578125,63.49275588989258,63.49275588989258,1.0
83,6001.5361328125,-5937.9375,63.59880065917969,63.59880065917969,1.0
